Employee_ID,Employee_Country,Employee_Name,Employee_Gender,Job,Manager_Hierarchy,employee_birthdate,employee_hire_date,employee_term_date,salary
120101,AU,Patrick Lu,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales Management""},{""level"":3,""id"":""Sales Management""},{""level"":4,""id"":""Sales Management""},{""level"":5,""id"":""Director""}]","[{""level"":1,""id"":""120261""},{""level"":2,""id"":""120259""}]",18AUG1993,01JUL2020,.,"$195,648 "
120102,AU,Tom Zhou,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales Management""},{""level"":3,""id"":""Sales Management""},{""level"":4,""id"":""Sales Management""},{""level"":5,""id"":""Sales Manager""}]","[{""level"":1,""id"":""120101""},{""level"":2,""id"":""120261""},{""level"":3,""id"":""120259""}]",11AUG1986,01JUN2006,.,"$129,906 "
120103,AU,Wilson Dawes,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales Management""},{""level"":3,""id"":""Sales Management""},{""level"":4,""id"":""Sales Management""},{""level"":5,""id"":""Sales Manager""}]","[{""level"":1,""id"":""120101""},{""level"":2,""id"":""120261""},{""level"":3,""id"":""120259""}]",22JAN1966,01JAN1991,.,"$105,570 "
120104,AU,Kareen Billington,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Administration""},{""level"":3,""id"":""Administration""},{""level"":4,""id"":""Administration""},{""level"":5,""id"":""Administration Manager""}]","[{""level"":1,""id"":""120101""},{""level"":2,""id"":""120261""},{""level"":3,""id"":""120259""}]",11MAY1971,01JAN1998,.,"$55,476 "
120105,AU,Liz Povey,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Administration""},{""level"":3,""id"":""Administration""},{""level"":4,""id"":""Administration""},{""level"":5,""id"":""Secretary I""}]","[{""level"":1,""id"":""120101""},{""level"":2,""id"":""120261""},{""level"":3,""id"":""120259""}]",21DEC1991,01MAY2016,.,"$32,532 "
120106,AU,John Hornsey,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Administration""},{""level"":3,""id"":""Administration""},{""level"":4,""id"":""Administration""},{""level"":5,""id"":""Office Assistant II""}]","[{""level"":1,""id"":""120104""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",23DEC1961,01JAN1991,.,"$32,352 "
120107,AU,Sherie Sheedy,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Administration""},{""level"":3,""id"":""Administration""},{""level"":4,""id"":""Shipping Charges""},{""level"":5,""id"":""Office Assistant III""}]","[{""level"":1,""id"":""120104""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",21JAN1966,01FEB1991,.,"$36,570 "
120108,AU,Gladys Gromek,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Administration""},{""level"":3,""id"":""Goods Entrance""},{""level"":4,""id"":""Stock Admin""},{""level"":5,""id"":""Warehouse Assistant II""}]","[{""level"":1,""id"":""120104""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",23FEB2001,01AUG2023,.,"$33,192 "
120109,AU,Gabriele Baker,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Administration""},{""level"":3,""id"":""Goods Entrance""},{""level"":4,""id"":""Stock Admin""},{""level"":5,""id"":""Warehouse Assistant I""}]","[{""level"":1,""id"":""120104""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",15DEC2003,01OCT2023,.,"$31,794 "
120110,AU,Dennis Entwisle,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Administration""},{""level"":3,""id"":""Goods Entrance""},{""level"":4,""id"":""Stock Admin""},{""level"":5,""id"":""Warehouse Assistant III""}]","[{""level"":1,""id"":""120104""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",20NOV1966,01NOV1996,.,"$34,338 "
120111,AU,Ubaldo Spillane,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Administration""},{""level"":3,""id"":""Security""},{""level"":4,""id"":""Security Guards""},{""level"":5,""id"":""Security Guard II""}]","[{""level"":1,""id"":""120104""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",23JUL1966,01NOV1991,.,"$32,274 "
120112,AU,Ellis Glattback,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Administration""},{""level"":3,""id"":""Security""},{""level"":4,""id"":""Security Guards""},{""level"":5,""id"":""Security Guard I""}]","[{""level"":1,""id"":""120104""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",17FEB1986,01JUL2007,.,"$31,860 "
120113,AU,R\u00edu Horsey,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Administration""},{""level"":3,""id"":""Security""},{""level"":4,""id"":""Security Guards""},{""level"":5,""id"":""Security Guard II""}]","[{""level"":1,""id"":""120104""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",10MAY1961,01JAN1991,.,"$32,244 "
120114,AU,Jeannette Buddery,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Administration""},{""level"":3,""id"":""Security""},{""level"":4,""id"":""Security Guards""},{""level"":5,""id"":""Security Manager""}]","[{""level"":1,""id"":""120104""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",08FEB1961,01JAN1991,.,"$37,542 "
120115,AU,Hugh Nichollas,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Administration""},{""level"":3,""id"":""Service Center""},{""level"":4,""id"":""Service""},{""level"":5,""id"":""Service Assistant I""}]","[{""level"":1,""id"":""120104""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",08MAY2001,01AUG2022,.,"$31,800 "
120116,AU,Austen Ralston,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Administration""},{""level"":3,""id"":""Service Center""},{""level"":4,""id"":""Service""},{""level"":5,""id"":""Service Assistant II""}]","[{""level"":1,""id"":""120104""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",13JUN1976,01FEB1997,.,"$35,100 "
120117,AU,Bill Mccleary,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Engineering""},{""level"":3,""id"":""Engineering""},{""level"":4,""id"":""Cabinet Maker's Workshop""},{""level"":5,""id"":""Cabinet Maker III""}]","[{""level"":1,""id"":""120104""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",11SEP1981,01APR2003,.,"$38,004 "
120118,AU,Darshi Hartshorn,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Engineering""},{""level"":3,""id"":""Engineering""},{""level"":4,""id"":""Cabinet Maker's Workshop""},{""level"":5,""id"":""Cabinet Maker II""}]","[{""level"":1,""id"":""120104""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",03JUN1976,01JUL2001,.,"$33,708 "
120119,AU,Lal Elleman,M,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Engineering""},{""level"":3,""id"":""Engineering""},{""level"":4,""id"":""Electrical Workshop""},{""level"":5,""id"":""Electrician IV""}]","[{""level"":1,""id"":""120104""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",21DEC1986,01JAN2015,.,"$36,306 "
120120,AU,Krishna Peiris,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Engineering""},{""level"":3,""id"":""Engineering""},{""level"":4,""id"":""Electrical Workshop""},{""level"":5,""id"":""Electrician II""}]","[{""level"":1,""id"":""120104""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",05MAY1961,01JAN1991,.,"$33,174 "
120121,AU,Irenie Elvish,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Assorted Sports Articles""},{""level"":5,""id"":""Sales Rep. II""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",02AUG1961,01JAN1991,.,"$31,920 "
120122,AU,Christina Ngan,F,"[{""level"":1,""id"":""Orion Australia""},{""level"":2,""id"":""Sales""},{""level"":3,""id"":""Sales""},{""level"":4,""id"":""Assorted Sports Articles""},{""level"":5,""id"":""Sales Rep. II""}]","[{""level"":1,""id"":""120102""},{""level"":2,""id"":""120101""},{""level"":3,""id"":""120261""},{""level"":4,""id"":""120259""}]",27JUL1971,01JUL1995,.,"$32,970 "
