"Customer_ID","Employee_ID","Order_ID","Order_Type","Customer_Country","Customer_Gender","Customer_Name","Customer_Type","Order_Date","Delivery_Date","Customer_BirthDate","product_id","product_quantity","costprice_per_unit","total_retail_price","product_name","product_group","product_category","product_line","supplier_country","supplier_name","supplier_id","reason"
"          10","      120732","  1243815198","           1","US","F","Karen Ballinger","Orion  Club members high activity","03NOV2024","03NOV2024","18OCT2001",".","4","49.05","471.2","","","","","","","","Missing product_name; Missing product_group; Missing product_category; Missing product_line; Missing supplier_name; Missing supplier_id; Missing supplier_country"
"          27","    99999999","  1242449327","           3","US","F","Cynthia Mccluney","Internet/Catalog Customers","05JUN2024","10JUN2024","15APR1986",".","2","19.5","91.6","","","","","","","","Missing product_name; Missing product_group; Missing product_category; Missing product_line; Missing supplier_name; Missing supplier_id; Missing supplier_country"
"          89","    99999999","  1233597637","           2","US","F","Wynella Lewis","Orion  Club members high activity","27AUG2021","30AUG2021","28SEP1951",".","2","14.65","67.2","","","","","","","","Missing product_name; Missing product_group; Missing product_category; Missing product_line; Missing supplier_name; Missing supplier_id; Missing supplier_country"
"          34","      121030","  1233920786","           1","US","M","Alvan Goheen","Orion Club members low activity","15OCT2021","15OCT2021","18JAN2001","210200400010","1","19.1","38","","","","","","","","Missing product_name; Missing product_group; Missing product_category; Missing product_line; Missing supplier_name; Missing supplier_id; Missing supplier_country"
"          75","      121029","  1233270605","           1","US","M","Mikel Spetz","Orion Club members low activity","09JUL2021","09JUL2021","18JUN2001","210200600086","2","17","75.2","","","","","","","","Missing product_name; Missing product_group; Missing product_category; Missing product_line; Missing supplier_name; Missing supplier_id; Missing supplier_country"
"         111","      120127","  1231930216","           1","AU","F","Karolina Dokter","Orion  Club members medium activity","18DEC2020","","28DEC1991","220100300008","4","34.35","342.8","Dp Roller High-necked Knit","Knitwear","Clothes","Clothes & Shoes","US","Mayday Inc","4646","Missing delivery_date"
"          10","      121039","  1240201886","           1","US","F","Karen Ballinger","Orion  Club members high activity","18SEP2023","18SEP2023","18OCT2001","220101400333","1","14.75","32.3","","","","","","","","Missing product_name; Missing product_group; Missing product_category; Missing product_line; Missing supplier_name; Missing supplier_id; Missing supplier_country"
"          65","    99999999","  1237664026","           3","DE","F","Ines Deisser","Orion Club members low activity","","","20JUL1986","230100200004","1","50.05","99.9","Black/Black","Backpacks","Outdoors","Outdoors","DK","Top Sports","755","Missing order_date; Missing order_date; Missing delivery_date"
"          52","      120732","  1239962634","           1","US","M","Yan Kozlowski","Orion  Club members medium activity","19AUG2023","19AUG2023","06APR1986","230100500088","2","12.2","50","","","","","","","","Missing product_name; Missing product_group; Missing product_category; Missing product_line; Missing supplier_name; Missing supplier_id; Missing supplier_country"
"        2806","    99999999","  1242568696","           2","ZA","F","Raedene Van Den Berg","Orion  Club members medium activity","18JUN2024","","16SEP2005","240100100029","2","51.7","239","Buzz Saw","Assorted Sports articles","Assorted Sports Articles","Sports","CA","CrystalClear Optics Inc","16814","Missing delivery_date"
"         171","      120124","  1243991721","           1","AU","M","Robert Bowerman","Orion  Club members high activity","23NOV2024","23NOV2024","22FEB1991","240100100353","1","14.3","29.9","","","","","","","","Missing product_name; Missing product_group; Missing product_category; Missing product_line; Missing supplier_name; Missing supplier_id; Missing supplier_country"
"        2618","    99999999","  1232173841","           3","ZA","M","Theunis Brazier","Orion  Club members medium activity","30JAN2021","25JAN2021","21MAR1966","240100100581","1","11.55","28","Eliza T-Shirt","Assorted Sports articles","Assorted Sports Articles","Sports","ES","L\u00fcna sastreria S.A.","4742","Order date is after delivery date"
"          41","      120131","  1236216065","           1","AU","M","Wendell Summersby","Orion  Club members medium activity","26JUN2022","26JUN2022","02DEC1981","240200100119","1","89.55","175.5","","","","","","","","Missing product_name; Missing product_group; Missing product_category; Missing product_line; Missing supplier_name; Missing supplier_id; Missing supplier_country"
"          41","      120158","  1237974997","           1","AU","M","Wendell Summersby","Orion  Club members medium activity","17DEC2022","17DEC2022","02DEC1981","240400300031","3","22.6","162.9","","","","","","","","Missing product_name; Missing product_group; Missing product_category; Missing product_line; Missing supplier_name; Missing supplier_id; Missing supplier_country"
"          18","      121086","  1230912536","           1","US","M","Tonie Asmussen","Orion Club members low activity","16JUN2020","16JUN2020","02FEB1971","240500200120","2","12.1","50.8","","","","","","","","Missing product_name; Missing product_group; Missing product_category; Missing product_line; Missing supplier_name; Missing supplier_id; Missing supplier_country"
"           5","    99999999","  1231842118","           2","US","F","Sandrina Stephano","Orion Club Gold members medium activity","","","09JUL1996","240700300002","2","7.25","43.98","Basket Ball Pro","Basket Ball","Team Sports","Sports","US","HighPoint Trading","10225","Missing order_date; Missing order_date; Missing delivery_date"
