"Order_ID","Customer_ID","employee_id","order_type","Customer_Country","Customer_Gender","Customer_Name","Customer_Type","order_date","delivery_date","customer_birthdate","costprice_per_unit","total_retail_price","product_quantity","product_id","product_name","product_group","product_category","product_line","supplier_country","supplier_id","supplier_name","age","age_group","customer_activity","customer_type_group","profit"
"  1230058123","          63","121039","Retail","US","M","James Klisurich","Orion Club Gold members medium activity","       21925","       21925","        9855","        7.45","        16.5","           1","220101300017","Toncot Beefy-T Emb T","T-Shirts","Clothes","Clothes & Shoes","US","        3298","A Team Sports","          39","31-45 years old","Medium Activity","Orion Club Gold","        9.05"
"  1230080101","           5","99999999","Catalog","US","F","Sandrina Stephano","Orion Club Gold members medium activity","       21929","       21933","       13339","      109.55","       247.5","           1","230100500026","Trekking Tent","Outdoor Gear","Outdoors","Outdoors","GB","         316","Prime Sports Ltd","          30","15-30 years old","Medium Activity","Orion Club Gold","      137.95"
"  1230106883","          45","99999999","Catalog","US","F","Dianne Patchin","Orion Club Gold members low activity","       21934","       21936","       13275","        8.55","        28.3","           1","240600100080","Sharky Swimming Trun","Bathing Suits","Swim Sports","Sports","US","       16292","Dolphin Sportswear I","          30","15-30 years old","Low Activity","Orion Club Gold","       19.75"
"  1230147441","          41","120174","Retail","AU","M","Wendell Summersby","Orion  Club members medium activity","       21942","       21942","        8006","         6.5","          32","           2","240600100010","Goggles, Assorted Co","Bathing Suits","Swim Sports","Sports","US","        6153","Nautlius SportsWear","          44","31-45 years old","Medium Activity","Orion Club","          19"
"  1230315085","         183","120134","Retail","AU","M","Duncan Robertshawe","Orion Club members low activity","       21972","       21972","         449","         8.8","        63.6","           3","240200200039","Eagle Plain Cap","Golf Clothes","Golf","Sports","US","       10225","HighPoint Trading","          65","61-75 years old","Low Activity","Orion Club","        37.2"
"  1230333319","          79","99999999","Catalog","US","F","Najma Hicks","Orion  Club members medium activity","       21976","       21977","       15727","      115.95","       234.6","           1","240100400005","Cool Fit Men's Rolle","Skates","Assorted Sports Arti","Sports","US","       13198","Twain Inc","          23","15-30 years old","Medium Activity","Orion Club","      118.65"
"  1230338566","          23","99999999","Catalog","US","M","Tulio D\u00e9vereaux","Internet/Catalog Customers","       21977","       21982","        2527","       16.15","        35.4","           1","240800200062","Top Equipe 07 Green","Winter Sports","Winter Sports","Sports","US","       13198","Twain Inc","          59","46-60 years old","Not Available","Internet/Catalog Customers","       19.25"
"  1230371142","          45","99999999","Catalog","US","F","Dianne Patchin","Orion Club Gold members low activity","       21983","       21985","       13275","          28","         127","           2","240500100004","Pants N","Jogging","Running - Jogging","Sports","ES","        4742","L\u00fcna sastreria","          30","15-30 years old","Low Activity","Orion Club Gold","          71"
"  1230404278","          56","121059","Retail","US","M","Roy Siferd","Orion  Club members medium activity","       21989","       21989","       -3256","       17.05","          75","           2","220200300002","Pytossage Bathing Sa","Tracker Shoes","Shoes","Clothes & Shoes","US","        2963","3Top Sports","          75","61-75 years old","Medium Activity","Orion Club","        40.9"
"  1230440481","         183","120149","Retail","AU","M","Duncan Robertshawe","Orion Club members low activity","       21996","       21996","         449","        63.2","       129.8","           1","230100600005","Basic 10, Left , Yel","Sleepingbags","Outdoors","Outdoors","DK","         755","Top Sports","          65","61-75 years old","Low Activity","Orion Club","        66.6"
